"module name","license","repository"
"@cycle/core@6.0.3","MIT","https://github.com/cyclejs/cycle-core"
"@cycle/dom@9.4.0","MIT","https://github.com/cyclejs/cycle-dom"
"@cycle/isolate@1.2.0","MIT","https://github.com/cyclejs/isolate"
"amdefine@1.0.0","MIT","https://github.com/jrburke/amdefine"
"bitset.js@3.1.0","MIT","https://github.com/infusion/bitset.js"
"browser-split@0.0.1","MIT","https://github.com/juliangruber/browser-split"
"camelize@1.0.0","MIT","https://github.com/substack/camelize"
"css-parse@1.7.0","MIT","https://github.com/visionmedia/css-parse"
"debug@2.2.0","MIT","https://github.com/visionmedia/debug"
"dom-walk@0.1.1","MIT","https://github.com/Raynos/dom-walk"
"error@4.4.0","MIT","https://github.com/Raynos/error"
"escape-html@1.0.3","MIT","https://github.com/component/escape-html"
"ev-store@7.0.0","MIT","https://github.com/Raynos/ev-store"
"glob@3.2.11","BSD","https://github.com/isaacs/node-glob"
"global@4.3.0","MIT","https://github.com/Raynos/global"
"hyperscript-helpers@2.0.3","MIT","https://github.com/ohanhi/hyperscript-helpers"
"immutable@3.8.1","BSD-3-Clause","https://github.com/facebook/immutable-js"
"individual@3.0.0","MIT","https://github.com/Raynos/individual"
"inherits@2.0.1","ISC","https://github.com/isaacs/inherits"
"is-object@1.0.1","MIT","https://github.com/ljharb/is-object"
"lower-case@1.1.3","MIT","https://github.com/blakeembrey/lower-case"
"lru-cache@2.7.3","ISC","https://github.com/isaacs/node-lru-cache"
"matches-selector@1.0.0","MIT","https://github.com/ForbesLindesay/matches-selector"
"min-document@2.18.0","MIT","https://github.com/Raynos/min-document"
"minimatch@0.3.0","MIT","https://github.com/isaacs/minimatch"
"mkdirp@0.3.5","MIT","https://github.com/substack/node-mkdirp"
"ms@0.7.1","MIT*","https://github.com/guille/ms.js"
"next-tick@0.2.2","MIT","https://github.com/medikoo/next-tick"
"nib@1.1.0","MIT","https://github.com/visionmedia/nib"
"param-case@1.1.2","MIT","https://github.com/blakeembrey/param-case"
"performance-now@0.2.0","MIT","https://github.com/meryn/performance-now"
"process@0.5.2","MIT*","https://github.com/shtylman/node-process"
"raf@3.2.0","MIT","https://github.com/chrisdickinson/raf"
"rx@4.1.0","Apache-2.0","https://github.com/Reactive-Extensions/RxJS"
"sax@0.5.8","BSD","https://github.com/isaacs/sax-js"
"sentence-case@1.1.3","MIT","https://github.com/blakeembrey/sentence-case"
"sigmund@1.0.1","ISC","https://github.com/isaacs/sigmund"
"source-map@0.1.43","BSD","https://github.com/mozilla/source-map"
"string-template@0.2.1","MIT","https://github.com/Matt-Esch/string-template"
"stylus@0.49.3","MIT","https://github.com/LearnBoost/stylus"
"vdom-parser@1.2.1","MIT","https://github.com/bitinn/vdom-parser"
"vdom-to-html@2.2.0","MIT","https://github.com/nthtran/vdom-to-html"
"virtual-dom@2.1.1","MIT","https://github.com/Matt-Esch/virtual-dom"
"x-is-array@0.1.0","MIT","https://github.com/Matt-Esch/x-is-array"
"x-is-string@0.1.0","MIT","https://github.com/Matt-Esch/x-is-string"
"xtend@4.0.1","MIT","https://github.com/Raynos/xtend"
